species,abundance_bci1,abundance_bci2,abundance_bci3,abundance_bci4,abundance_bci5,abundance_bci6,abundance_bci7
acacme,2,1,2,3,2,2,2
acaldi,2,3,2,2,2,1,2
acalma,2,0,2,1,2,2,2
ade1tr,113,112,103,91,79,70,64
aegipa,22,21,23,23,21,17,14
alchco,159,158,157,155,145,146,134
alchla,2,2,2,1,1,1,1
alibed,2,1,3,1,0,0,0
allops,29,32,27,26,22,28,32
alsebl,825,844,923,975,1005,1036,1059
amaico,2,2,3,2,2,2,2
anacex,23,23,22,22,22,21,21
andiin,37,34,30,26,27,31,31
annosp,18,17,22,27,23,17,9
apeihy,1,1,0,0,0,0,0
apeime,237,225,236,235,222,204,197
apeiti,25,23,21,21,20,16,18
ardife,1,1,0,0,0,0,0
aspicr,46,50,52,51,56,56,60
ast1st,230,224,216,200,183,160,147
ast2gr,39,39,39,42,39,38,38
beilpe,300,300,293,291,277,269,249
brosal,181,177,179,183,189,197,195
brosgu,1,1,1,1,0,0,0
calolo,54,53,59,54,49,44,49
caseac,23,26,22,23,19,13,13
casear,153,130,120,103,92,77,59
caseco,2,3,3,3,2,3,3
casesy,73,68,57,55,51,43,38
cassel,64,68,76,84,84,94,110
cavapl,21,21,22,19,19,18,18
cecrin,276,245,256,263,280,337,363
cecrob,38,24,21,25,36,90,121
cedrod,2,2,2,2,2,2,4
ceibpe,42,41,38,39,37,41,40
celtsc,40,38,32,36,38,42,48
cespma,3,2,2,2,1,1,1
cha2sc,1,1,2,3,6,6,8
chr1ec,2,4,3,2,3,3,1
chr2ar,77,85,86,85,84,75,71
chr2ca,19,22,23,22,22,22,21
coccco,21,20,20,22,22,21,16
coccma,8,8,11,12,13,12,10
colugl,2,1,1,1,2,1,1
cordal,60,58,60,63,57,57,60
cordbi,251,257,283,322,327,321,327
cordla,404,436,428,353,289,243,212
cou2cu,38,43,53,52,62,61,66
crotbi,66,65,71,95,78,48,49
cupaci,1,1,1,1,0,0,0
cupala,8,9,10,12,11,13,10
cuparu,5,6,6,4,2,2,4
cupasy,28,27,36,43,47,50,50
dendar,105,102,93,87,77,68,61
des2pa,13,13,11,12,13,11,12
dio2ar,9,12,14,16,17,17,17
diptpa,33,33,34,33,33,33,32
drypst,189,224,259,282,297,310,316
elaeol,19,20,21,21,22,21,20
entesc,2,2,2,2,3,4,3
ery1co,45,47,30,27,26,18,12
ery2ma,16,19,15,17,15,13,10
eugeco,75,75,84,80,86,82,83
eugega,20,23,16,12,16,17,13
eugene,49,49,52,54,54,51,48
eugeoe,130,137,156,172,183,182,159
faraoc,1147,1337,1574,1644,1752,1826,1950
ficubu,1,1,1,0,0,0,0
ficuc1,1,1,1,1,1,0,0
ficuc2,7,6,6,6,6,5,5
ficuin,3,3,3,3,2,1,2
ficuma,4,5,2,3,4,4,5
ficuob,10,8,8,8,7,7,6
ficupo,6,6,5,3,4,2,2
ficuto,41,37,30,22,19,14,14
ficutr,6,4,5,5,5,4,4
ficuyo,6,6,6,6,5,5,5
gar2in,76,70,82,88,105,124,137
gar2ma,20,24,22,9,8,8,12
geniam,19,20,21,22,20,20,19
guapst,88,90,99,97,97,99,94
guargr,10,10,10,9,9,9,10
guargu,366,354,370,374,367,358,352
guarsp,99,93,81,67,59,47,42
guatdu,282,274,271,244,219,193,164
guazul,28,30,34,38,37,38,42
guetfo,78,83,78,84,72,63,57
gustsu,630,639,644,643,632,616,604
hameax,1,0,0,0,0,0,0
hampap,40,33,25,13,8,10,29
hassfl,254,251,246,224,200,179,149
heisac,5,6,7,7,9,7,9
heisco,240,253,270,287,285,289,296
hirtam,8,8,6,4,3,2,3
hirttr,494,545,616,669,702,761,782
huracr,99,97,100,100,97,95,90
hybapr,3,3,1,0,0,0,0
hyeral,43,41,42,41,39,40,41
ingaco,30,25,23,13,6,2,2
ingafa,8,8,8,10,10,8,8
ingago,60,49,50,48,39,31,32
ingama,80,71,87,98,103,102,99
ingami,4,3,2,2,2,2,1
ingape,23,14,11,20,19,21,17
ingapu,8,8,9,10,8,7,6
ingaqu,33,39,52,62,73,67,68
ingaru,10,7,6,5,4,3,4
ingas1,11,13,20,27,39,55,69
ingasa,65,66,75,75,71,69,69
ingasp,12,12,13,14,11,11,9
ingath,6,6,11,25,38,45,38
ingaum,20,16,12,12,13,8,13
jac1co,222,229,241,236,231,220,208
laciag,41,38,35,33,27,29,25
lacmpa,33,37,42,51,53,55,55
laetpr,9,9,11,12,14,15,12
laetth,13,16,23,26,26,26,28
lafopu,4,4,5,5,5,4,4
licahy,19,16,15,14,11,11,9
licapl,9,9,10,9,7,7,7
lindla,86,78,68,63,56,50,40
loncla,144,136,123,119,111,104,95
lozapi,3,2,0,0,0,0,0
luehse,84,90,92,92,89,85,86
macrgl,24,24,24,25,25,24,25
malmsp,12,14,17,15,16,16,16
maquco,218,196,173,164,149,148,159
mar1la,10,11,11,10,9,9,6
margno,1,1,1,2,2,2,2
maytsc,20,20,21,21,21,20,24
micoaf,3,1,8,8,8,4,5
micoar,46,48,57,70,74,70,58
micoel,2,3,2,1,1,1,0
micoho,7,4,6,7,7,6,6
myrcga,3,3,5,5,5,1,2
myrofr,9,9,10,7,6,4,4
nectci,23,21,26,31,32,31,29
nectgl,11,9,13,10,11,10,12
nectpu,4,1,2,3,4,5,3
nects1,1,0,0,0,1,1,1
ochrpy,2,4,5,5,4,8,11
ocotce,23,30,28,30,26,26,28
ocotob,32,30,26,35,38,42,47
ocotpu,11,12,18,23,24,21,19
ocotwh,163,166,173,181,181,182,162
oenoma,676,692,688,726,735,722,754
olmeas,48,40,30,28,31,42,38
ormoam,1,1,1,1,1,1,1
ormocr,4,3,4,5,5,5,7
ormoma,4,4,5,3,3,3,4
pentma,2,2,2,0,1,0,0
perexa,14,14,19,19,21,23,27
phoeci,18,17,19,16,17,14,14
picrla,31,34,40,45,39,37,31
pipere,9,9,9,9,9,8,8
pit1ma,1,1,1,1,1,2,2
pla1pi,69,66,61,60,54,47,43
pla2el,60,50,47,43,39,36,30
pochqu,2,1,1,1,1,1,1
pochse,8,9,10,9,10,10,10
posola,13,15,14,15,13,12,11
poular,892,844,788,742,661,619,567
pourbi,11,12,14,13,16,18,20
poutfo,2,2,2,2,2,2,2
poutre,156,168,185,201,208,215,214
poutst,34,32,30,31,30,30,28
pri2co,273,302,328,339,352,356,362
protco,107,100,103,107,102,106,111
protpa,57,44,49,46,47,39,48
protte,343,348,356,381,387,397,410
pse1se,11,9,8,8,9,9,9
psidfr,4,4,4,4,4,4,4
psycg3,1,2,2,2,2,2,0
pterof,1,1,0,0,0,0,0
pterro,128,101,78,76,67,51,52
quaras,692,690,698,717,719,711,728
quasam,6,8,5,3,4,5,5
randar,218,230,232,243,241,239,232
rinosy,1,0,0,0,0,0,1
sapiau,23,20,17,16,17,17,12
sapisp,3,3,3,3,3,2,1
sch1zo,44,40,36,33,30,34,32
sch2mo,1,1,0,0,0,0,0
schipa,1,1,1,2,3,5,8
sennda,1,1,0,0,0,0,0
simaam,244,252,264,284,263,243,230
sipagu,17,16,16,13,11,10,7
sipapa,21,23,15,14,15,14,14
sloate,86,86,80,78,71,67,64
socrex,364,356,327,341,319,289,273
solaha,39,25,13,12,14,12,14
soroaf,44,40,27,24,20,15,14
spacme,8,9,7,6,6,7,5
sponmo,22,22,28,29,32,32,37
sponra,57,58,60,63,64,63,62
stemgr,1,1,0,0,0,0,0
sterap,25,23,26,25,27,30,31
stylst,1,1,0,0,0,0,0
swars1,196,200,210,215,217,216,221
swars2,101,109,119,117,120,130,131
sympgl,44,35,29,25,27,20,14
tab1gu,30,28,29,31,32,31,27
tab1ro,80,72,69,66,65,62,57
tab2ar,288,303,302,322,336,361,383
tachve,86,80,88,93,103,106,106
taline,1,1,1,1,1,1,0
talipr,6,8,4,3,3,3,4
termam,28,28,28,28,28,27,26
termob,43,42,47,44,42,43,44
tet2pa,319,328,356,374,395,399,386
tet4jo,8,7,6,7,7,6,4
theoca,11,14,13,11,10,10,10
thevah,2,1,1,2,2,1,1
tocopi,5,6,6,6,6,6,6
tratas,50,47,47,40,42,40,41
tremmi,21,18,14,14,15,13,15
tri1gi,3,3,2,2,2,2,1
tri2pa,69,72,78,82,84,89,99
tri2tu,1991,1883,1756,1651,1552,1418,1294
tri4ga,6,4,2,1,2,1,0
tripcu,124,125,143,146,144,138,131
tropra,54,48,37,31,26,20,19
turpoc,67,55,57,57,53,42,41
uniden,3,7,11,14,11,0,0
unonpi,134,147,159,161,172,174,178
virose,597,581,599,608,584,550,524
virosp,19,19,23,24,25,26,28
virosu,176,165,162,166,156,149,141
vismba,1,3,2,1,2,2,2
vismma,1,0,0,0,0,0,0
vochfe,10,10,10,11,10,12,11
xyl1ma,76,94,127,139,155,187,215
zantbe,102,108,140,149,142,127,139
zantp1,83,69,62,67,66,57,52
zantpr,26,28,35,41,37,28,27
zantse,1,1,1,1,1,1,1
zuelgu,13,14,11,10,9,6,6
cappfr,0,1,0,0,0,0,0
maclti,0,1,1,1,1,1,1
mourmy,0,1,0,0,0,0,0
casegu,0,0,1,2,1,0,0
chimpa,0,0,2,2,2,2,2
ternte,0,0,1,0,0,0,0
tremin,0,0,1,1,3,6,29
banagu,0,0,0,1,0,0,0
cecrlo,0,0,0,1,5,3,4
couthe,0,0,0,0,1,1,2
micopr,0,0,0,0,1,1,0
annoac,0,0,0,0,0,1,0
pit1ru,0,0,0,0,0,1,1
protsp,0,0,0,0,0,1,1